time,LeftHipRoll_q_cmd,LeftHipRoll_dq_cmd,LeftHipRoll_tau_cmd,LeftHipRoll_q_meas,LeftHipRoll_dq_meas,LeftHipRoll_ddq_meas,LeftHipRoll_tau_meas,LeftKnee_q_cmd,LeftKnee_dq_cmd,LeftKnee_tau_cmd,LeftKnee_q_meas,LeftKnee_dq_meas,LeftKnee_ddq_meas,LeftKnee_tau_meas
8.999999999988128607e-02,1.358210906992976641e+00,3.732677324564300653e-02,0.000000000000000000e+00,1.012523412704467773e+00,2.712038755416870117e-01,0.000000000000000000e+00,3.393750000000000000e+01,8.982109069929766765e-01,3.732677324564300653e-02,0.000000000000000000e+00,8.311800360679626465e-01,1.352211982011795044e-01,0.000000000000000000e+00,7.312500000000000000e+00
9.199999999988106580e-02,1.358358642792006910e+00,3.822598977682516164e-02,0.000000000000000000e+00,1.012922883033752441e+00,2.571544945240020752e-01,0.000000000000000000e+00,3.356250000000000000e+01,8.983586427920069450e-01,3.822598977682516164e-02,0.000000000000000000e+00,8.316274285316467285e-01,1.449521183967590332e-01,0.000000000000000000e+00,5.625000000000000000e+00
9.399999999988084554e-02,1.358509841668104068e+00,3.912784732821467104e-02,0.000000000000000000e+00,1.013386249542236328e+00,2.470310479402542114e-01,0.000000000000000000e+00,3.384375000000000000e+01,8.985098416681042144e-01,3.912784732821467104e-02,0.000000000000000000e+00,8.320268988609313965e-01,1.536110490560531616e-01,0.000000000000000000e+00,6.000000000000000000e+00
9.599999999988062527e-02,1.358664511889509763e+00,4.003231683068557423e-02,0.000000000000000000e+00,1.013993382453918457e+00,2.399483919143676758e-01,0.000000000000000000e+00,3.403125000000000000e+01,8.986645118895099094e-01,4.003231683068557423e-02,0.000000000000000000e+00,8.323944211006164551e-01,1.608630120754241943e-01,0.000000000000000000e+00,5.718750000000000000e+00
9.799999999988040500e-02,1.358822661649163432e+00,4.093936885424460242e-02,0.000000000000000000e+00,1.014744400978088379e+00,2.376731783151626587e-01,0.000000000000000000e+00,3.403125000000000000e+01,8.988226616491633569e-01,4.093936885424460242e-02,0.000000000000000000e+00,8.323944211006164551e-01,1.608630120754241943e-01,0.000000000000000000e+00,5.718750000000000000e+00
9.999999999988018473e-02,1.358984299063806356e+00,4.184897360631753549e-02,0.000000000000000000e+00,1.015399575233459473e+00,2.342945039272308350e-01,0.000000000000000000e+00,3.440625000000000000e+01,8.989842990638062803e-01,4.184897360631753549e-02,0.000000000000000000e+00,8.327140212059020996e-01,1.651620715856552124e-01,0.000000000000000000e+00,5.906250000000000000e+00
1.019999999998799645e-01,1.359149432173082372e+00,4.276110093004376750e-02,0.000000000000000000e+00,1.015399575233459473e+00,2.342945039272308350e-01,0.000000000000000000e+00,3.440625000000000000e+01,8.991494321730822969e-01,4.276110093004376750e-02,0.000000000000000000e+00,8.330176472663879395e-01,1.672743707895278931e-01,0.000000000000000000e+00,6.468750000000000000e+00
1.039999999998797442e-01,1.359318068938633051e+00,4.367572030257930310e-02,0.000000000000000000e+00,1.015942811965942383e+00,2.303582280874252319e-01,0.000000000000000000e+00,3.365625000000000000e+01,8.993180689386330862e-01,4.367572030257930310e-02,0.000000000000000000e+00,8.333691358566284180e-01,1.675959378480911255e-01,0.000000000000000000e+00,6.093750000000000000e+00
1.059999999998795239e-01,1.359490217243189969e+00,4.459280083340833034e-02,0.000000000000000000e+00,1.016390323638916016e+00,2.303797304630279541e-01,0.000000000000000000e+00,3.309375000000000000e+01,8.994902172431898935e-01,4.459280083340833034e-02,0.000000000000000000e+00,8.336727619171142578e-01,1.651877909898757935e-01,0.000000000000000000e+00,6.375000000000000000e+00
1.079999999998793037e-01,1.359665884889661669e+00,4.551231126266352262e-02,0.000000000000000000e+00,1.016741871833801270e+00,2.317468672990798950e-01,0.000000000000000000e+00,3.337500000000000000e+01,8.996658848896615934e-01,4.551231126266352262e-02,0.000000000000000000e+00,8.340083360671997070e-01,1.615522056818008423e-01,0.000000000000000000e+00,6.375000000000000000e+00
1.099999999998790834e-01,1.359845079600217943e+00,4.643421995945532649e-02,0.000000000000000000e+00,1.017109274864196777e+00,2.319515198469161987e-01,0.000000000000000000e+00,3.318750000000000000e+01,8.998450796002178675e-01,4.643421995945532649e-02,0.000000000000000000e+00,8.344237804412841797e-01,1.588986665010452271e-01,0.000000000000000000e+00,6.281250000000000000e+00
1.119999999998788631e-01,1.360027809015369460e+00,4.735849492021040885e-02,0.000000000000000000e+00,1.017460823059082031e+00,2.294896543025970459e-01,0.000000000000000000e+00,3.384375000000000000e+01,9.000278090153693844e-01,4.735849492021040885e-02,0.000000000000000000e+00,8.348711729049682617e-01,1.571943163871765137e-01,0.000000000000000000e+00,6.093750000000000000e+00
1.139999999998786429e-01,1.360214080693042948e+00,4.828510376701947854e-02,0.000000000000000000e+00,1.017860293388366699e+00,2.244222164154052734e-01,0.000000000000000000e+00,3.375000000000000000e+01,9.002140806930429839e-01,4.828510376701947854e-02,0.000000000000000000e+00,8.348711729049682617e-01,1.571943163871765137e-01,0.000000000000000000e+00,6.093750000000000000e+00
1.159999999998784226e-01,1.360403902107653273e+00,4.921401374599468359e-02,0.000000000000000000e+00,1.018403649330139160e+00,2.193380147218704224e-01,0.000000000000000000e+00,3.403125000000000000e+01,9.004039021076534199e-01,4.921401374599468359e-02,0.000000000000000000e+00,8.353186249732971191e-01,1.580522060394287109e-01,0.000000000000000000e+00,6.000000000000000000e+00
1.179999999998782023e-01,1.360597280649171070e+00,5.014519172563676463e-02,0.000000000000000000e+00,1.019042730331420898e+00,2.144051492214202881e-01,0.000000000000000000e+00,3.440625000000000000e+01,9.005972806491711058e-01,5.014519172563676463e-02,0.000000000000000000e+00,8.357020616531372070e-01,1.593484729528427124e-01,0.000000000000000000e+00,6.187500000000000000e+00
1.199999999998779820e-01,1.360794223622185939e+00,5.107860419521220718e-02,0.000000000000000000e+00,1.019042730331420898e+00,2.144051492214202881e-01,0.000000000000000000e+00,3.440625000000000000e+01,9.007942236221858634e-01,5.107860419521220718e-02,0.000000000000000000e+00,8.360216617584228516e-01,1.610363125801086426e-01,0.000000000000000000e+00,6.000000000000000000e+00
1.219999999998777618e-01,1.360994738244966751e+00,5.201421726314052474e-02,0.000000000000000000e+00,1.019634008407592773e+00,2.093334347009658813e-01,0.000000000000000000e+00,3.412500000000000000e+01,9.009947382449668973e-01,5.201421726314052474e-02,0.000000000000000000e+00,8.363093137741088867e-01,1.619083583354949951e-01,0.000000000000000000e+00,5.625000000000000000e+00
1.239999999998775415e-01,1.361198831648518182e+00,5.295199665539201267e-02,0.000000000000000000e+00,1.020161271095275879e+00,2.058444172143936157e-01,0.000000000000000000e+00,3.346875000000000000e+01,9.011988316485181061e-01,5.295199665539201267e-02,0.000000000000000000e+00,8.365489840507507324e-01,1.603664904832839966e-01,0.000000000000000000e+00,5.906250000000000000e+00
1.259999999998773212e-01,1.361406510875631026e+00,5.389190771389602147e-02,0.000000000000000000e+00,1.020576715469360352e+00,2.056946903467178345e-01,0.000000000000000000e+00,3.300000000000000000e+01,9.014065108756310618e-01,5.389190771389602147e-02,0.000000000000000000e+00,8.367886543273925781e-01,1.572386473417282104e-01,0.000000000000000000e+00,5.625000000000000000e+00
1.279999999998771010e-01,1.361617782879932292e+00,5.483391539496005468e-02,0.000000000000000000e+00,1.020912289619445801e+00,2.070060223340988159e-01,0.000000000000000000e+00,3.318750000000000000e+01,9.016177828799323279e-01,5.483391539496005468e-02,0.000000000000000000e+00,8.370123505592346191e-01,1.507529467344284058e-01,0.000000000000000000e+00,6.093750000000000000e+00
1.299999999998768807e-01,1.361832654524928632e+00,5.577798426769996210e-02,0.000000000000000000e+00,1.021247863769531250e+00,2.079872786998748779e-01,0.000000000000000000e+00,3.328125000000000000e+01,9.018326545249285564e-01,5.577798426769996210e-02,0.000000000000000000e+00,8.372040987014770508e-01,1.422235071659088135e-01,0.000000000000000000e+00,5.718750000000000000e+00
